Time,Filename,mean_Deg_C_1_1,uL_BL,uL_Channel_2,uL_Channel_3,uL_Channel_4,uL_Channel_5,uL_Channel_6,Baseline,w1118 BL 6326,w1118 BL 6326,eaat2 e04636,eaat2 e04636,eaat2 e04636
16:56:04,RepRec~04-28-2017_0352.exp,25.23271,0.1953569,1.247065,1.615598,1.191828,1.33013,1.64976,0,0,13,28,0,11
17:01:04,RepRec~04-28-2017_0353.exp,25.33898,0.1923124,1.194932,1.711093,1.177389,1.410944,1.589793,0,0,32,21,0,0
17:06:04,RepRec~04-28-2017_0354.exp,25.43879,0.1995018,1.222733,1.636937,1.330948,1.311169,1.602949,0,0,27,29,0,8
17:11:04,RepRec~04-28-2017_0355.exp,25.46134,0.1937147,1.211647,1.70761,1.432752,1.582302,1.663653,0,0,33,28,0,9
17:16:04,RepRec~04-28-2017_0356.exp,25.45944,0.1934787,1.232207,1.618596,1.320036,1.514232,1.802325,0,0,30,14,0,1
17:21:04,RepRec~04-28-2017_0357.exp,25.46167,0.2065892,1.288831,1.580631,1.52773,1.406155,1.662284,0,0,9,3,0,9
17:26:04,RepRec~04-28-2017_0358.exp,25.42918,0.2074675,1.335809,1.496211,1.461901,1.374179,1.585818,0,0,3,0,0,11
17:31:04,RepRec~04-28-2017_0359.exp,25.37801,0.1898789,1.24451,1.585606,1.536294,1.469105,1.532716,0,0,28,14,0,12
17:36:04,RepRec~04-28-2017_0360.exp,25.33433,0.1906917,1.212468,1.55586,1.534646,1.619299,1.473816,0,0,14,20,4,3
17:41:04,RepRec~04-28-2017_0361.exp,25.33429,0.1920861,1.219494,1.538186,1.541262,1.643951,1.701123,0,2,16,15,1,1
17:46:04,RepRec~04-28-2017_0362.exp,25.36087,0.1984611,1.377757,1.406904,1.496955,1.767835,1.502461,0,2,7,16,8,0
17:51:04,RepRec~04-28-2017_0363.exp,25.37228,0.1937907,1.36362,1.586544,1.421796,1.541898,1.634397,0,12,30,20,8,5
17:56:04,RepRec~04-28-2017_0364.exp,25.38377,0.2036582,1.238205,1.597665,1.60097,1.512101,1.806512,0,2,16,20,4,5
18:01:04,RepRec~04-28-2017_0365.exp,25.42308,0.1915072,1.284699,1.75701,1.516593,1.471703,1.616515,0,0,21,9,0,0
18:06:04,RepRec~04-28-2017_0366.exp,25.4667,0.1983016,1.285172,1.626469,1.494924,1.332372,1.53017,0,0,22,20,0,0
18:11:04,RepRec~04-28-2017_0367.exp,25.47851,0.1871966,1.275408,1.638927,1.485104,1.315407,1.537473,0,8,25,15,0,0
18:16:04,RepRec~04-28-2017_0368.exp,25.48213,0.1922613,1.227334,1.645244,1.428325,1.319408,1.466006,0,0,18,7,0,0
18:21:04,RepRec~04-28-2017_0369.exp,25.52999,0.1882044,1.295008,1.61063,1.430214,1.280412,1.654524,0,0,38,19,0,21
18:26:04,RepRec~04-28-2017_0370.exp,25.58449,0.1962664,1.206533,1.40459,1.396092,1.296456,1.820084,0,0,1,24,0,14
18:31:04,RepRec~04-28-2017_0371.exp,25.59645,0.2020491,1.248421,1.52398,1.352809,1.219918,1.715566,0,7,27,28,0,15
18:36:04,RepRec~04-28-2017_0372.exp,25.61591,0.206089,1.225539,1.490585,1.299877,1.174965,1.761657,0,7,25,20,0,25
18:41:04,RepRec~04-28-2017_0373.exp,25.65649,0.2205169,1.276159,1.542167,1.385362,1.379992,2.015369,0,2,25,14,0,8
18:46:04,RepRec~04-28-2017_0374.exp,25.72062,0.2079234,1.342523,1.526339,1.356878,1.277233,1.792535,0,8,25,18,0,10
18:51:04,RepRec~04-28-2017_0375.exp,25.74098,0.1906494,1.322937,1.645257,1.486575,1.259378,1.707515,0,6,42,15,0,7
18:56:04,RepRec~04-28-2017_0376.exp,25.73067,0.1974658,1.221054,1.7281,1.54987,1.229932,1.71339,0,3,41,17,0,14
19:01:04,RepRec~04-28-2017_0377.exp,25.74096,0.1957531,1.297334,1.693833,1.683305,1.257676,1.631056,0,6,31,20,0,4
19:06:04,RepRec~04-28-2017_0378.exp,25.74673,0.1976103,1.18559,1.696626,1.563543,1.223419,1.622744,0,0,40,13,0,6
19:11:04,RepRec~04-28-2017_0379.exp,25.70308,0.1960387,1.095631,1.600958,1.497686,1.223391,1.763389,0,0,44,7,0,5
19:16:04,RepRec~04-28-2017_0380.exp,25.64187,0.1954545,1.199461,1.61767,1.595038,1.204891,1.626781,0,0,26,16,0,4
19:21:04,RepRec~04-28-2017_0381.exp,25.59743,0.1895051,1.184289,1.667078,1.720463,1.197276,1.703238,0,6,57,17,0,8
19:26:04,RepRec~04-28-2017_0382.exp,25.5348,0.1836679,1.130278,1.610542,1.558583,1.17563,1.577619,0,0,45,24,0,7
19:31:04,RepRec~04-28-2017_0383.exp,25.44656,0.1839381,1.101771,1.670413,1.521138,1.202524,1.576818,0,0,25,16,0,2
19:36:04,RepRec~04-28-2017_0384.exp,25.35871,0.1887853,1.044584,1.680421,1.544972,1.168686,1.639677,0,0,47,27,0,13
19:41:04,RepRec~04-28-2017_0385.exp,25.26457,0.209584,1.026278,1.697051,1.581066,1.245072,1.623734,0,0,51,9,0,2
19:46:05,RepRec~04-28-2017_0386.exp,25.26436,168.3706,8.365838,2.465428,1.256822,0.4417126,0.7086984,0,0,55,36,0,5
19:51:05,RepRec~04-28-2017_0387.exp,25.2745,0.2259901,0.9103082,1.615198,1.555063,1.134111,1.653634,0,0,32,25,0,9
19:56:05,RepRec~04-28-2017_0388.exp,25.28795,0.2123086,1.019505,1.707612,1.658303,1.242651,1.758891,0,0,41,37,0,15
20:01:05,RepRec~04-28-2017_0389.exp,25.32994,0.2092952,1.070171,1.636777,1.486418,1.299341,1.676752,0,0,40,5,0,18
20:06:05,RepRec~04-28-2017_0390.exp,25.33751,0.2164289,1.065953,1.705387,1.636854,1.356122,1.632015,0,2,40,27,2,9
20:11:05,RepRec~04-28-2017_0391.exp,25.37897,0.2111723,1.045021,1.581435,1.61601,1.518522,1.687237,0,3,33,26,14,15
20:16:05,RepRec~04-28-2017_0392.exp,25.42787,0.2048636,0.9866194,1.700563,1.535603,1.434257,1.654773,0,0,44,23,13,7
20:21:05,RepRec~04-28-2017_0393.exp,25.50104,0.2069975,1.009748,1.677859,1.492044,1.620265,1.67284,0,0,42,21,8,7
20:26:05,RepRec~04-28-2017_0394.exp,25.53799,0.2074805,0.9367843,1.679379,1.57096,1.410068,1.698965,0,0,37,28,13,13
20:31:05,RepRec~04-28-2017_0395.exp,25.61323,0.2090272,0.9382042,1.687824,1.490393,1.284412,1.670654,0,0,45,19,0,9
20:36:05,RepRec~04-28-2017_0396.exp,25.66077,0.1937471,0.9519938,1.659626,1.517632,1.294859,1.672135,0,0,36,28,0,4
20:41:05,RepRec~04-28-2017_0397.exp,25.75808,0.2006629,0.9501581,1.706222,1.46617,1.380678,1.646318,0,0,46,26,0,12
20:46:05,RepRec~04-28-2017_0398.exp,25.87297,0.2080107,0.9458711,1.686282,1.537228,1.33691,1.677213,0,0,50,32,0,3
20:51:05,RepRec~04-28-2017_0399.exp,25.94386,0.2158764,0.9451603,1.694089,1.490649,1.348364,1.743541,0,0,43,44,0,4
20:56:05,RepRec~04-28-2017_0400.exp,25.99415,0.2133197,0.9240831,1.744697,1.486611,1.371576,2.029906,0,0,53,33,0,6
21:01:05,RepRec~04-28-2017_0401.exp,26.07227,0.2144684,1.021218,1.769544,1.65059,1.390585,1.838532,0,0,35,19,0,0
21:06:05,RepRec~04-28-2017_0402.exp,26.15979,0.2133501,1.044497,1.837183,1.589071,1.488612,1.89097,0,0,46,37,1,0
21:11:05,RepRec~04-28-2017_0403.exp,26.16594,0.2221711,0.9536556,1.863847,1.605769,1.645379,2.043643,0,0,62,37,4,1
21:16:05,RepRec~04-28-2017_0404.exp,26.10439,0.2296652,0.9621561,1.784631,1.5814,1.527484,2.049524,0,0,41,34,10,24
21:21:05,RepRec~04-28-2017_0405.exp,26.05099,0.2224401,1.223273,1.77674,1.585891,1.523197,2.005479,0,21,50,42,10,20
21:26:05,RepRec~04-28-2017_0406.exp,25.98663,0.2342733,1.125342,1.788731,1.597,1.52892,2.054036,0,10,74,32,8,25
21:31:05,RepRec~04-28-2017_0407.exp,25.9052,0.2213348,1.148374,1.742367,1.542928,1.669105,1.943304,0,21,46,54,6,29
21:36:05,RepRec~04-28-2017_0408.exp,25.82636,0.2000964,1.389425,1.818177,1.591272,1.551753,1.887292,0,29,66,43,9,38
21:41:05,RepRec~04-28-2017_0409.exp,25.75063,0.2024882,1.31741,1.788275,1.685119,1.482047,1.937714,0,21,72,55,7,36
21:46:05,RepRec~04-28-2017_0410.exp,25.6739,0.2080647,1.167581,1.787094,1.579129,1.417355,1.934157,0,3,57,59,11,31
21:51:05,RepRec~04-28-2017_0411.exp,25.61909,0.2164335,1.031179,1.745437,1.525753,1.4261,1.899589,0,10,55,53,7,31
21:56:05,RepRec~04-28-2017_0412.exp,25.55421,0.2147909,1.079643,1.852139,1.646601,1.436086,1.890165,0,7,65,39,4,34
22:01:05,RepRec~04-28-2017_0413.exp,25.51846,0.1964825,0.9974396,1.794528,1.635576,1.412999,1.861687,0,5,63,44,9,38
22:06:05,RepRec~04-28-2017_0414.exp,25.529,0.2141632,1.148103,1.815319,1.51853,1.352606,1.757653,0,31,82,89,5,29
22:11:05,RepRec~04-28-2017_0415.exp,25.55576,0.2276526,1.015271,1.833511,1.553227,1.429201,2.883951,0,11,85,42,2,15
22:16:05,RepRec~04-28-2017_0416.exp,25.54924,0.2167226,1.012067,1.736456,1.326736,1.298725,1.856936,0,8,80,10,0,9
22:21:05,RepRec~04-28-2017_0417.exp,25.53798,0.2252958,1.009534,1.721159,1.270616,1.180607,2.547509,0,3,62,10,0,9
22:26:05,RepRec~04-28-2017_0418.exp,25.55459,0.2138453,1.026152,1.657963,1.251016,1.283463,1.746715,0,13,56,9,0,0
22:31:05,RepRec~04-28-2017_0419.exp,25.5701,0.2011703,0.9524835,1.6216,1.21175,1.248818,1.652401,0,3,35,0,0,0
22:36:05,RepRec~04-28-2017_0420.exp,25.58917,0.200302,0.8578909,1.380835,1.221136,1.249485,1.594346,0,0,3,0,0,0
22:41:05,RepRec~04-28-2017_0421.exp,25.61325,0.2132168,0.9071962,1.331445,1.188128,1.224413,1.567163,0,0,9,0,0,0
22:46:05,RepRec~04-28-2017_0422.exp,25.65724,0.203709,0.9392567,1.263122,1.209818,1.252015,1.560437,0,8,0,0,0,0
22:51:05,RepRec~04-28-2017_0423.exp,25.71485,0.2004354,0.8650509,1.263928,1.128937,1.215181,1.544106,0,0,0,0,0,0
22:56:05,RepRec~04-28-2017_0424.exp,25.77917,0.2120737,0.894454,1.320566,1.176906,1.283005,1.553277,0,0,1,0,0,0
23:01:05,RepRec~04-28-2017_0425.exp,25.82463,0.2123281,0.9370075,1.333243,1.112186,1.242177,1.525951,0,0,1,0,0,0
23:06:05,RepRec~04-28-2017_0426.exp,25.8603,0.2116813,0.9115471,1.389494,1.171593,1.261372,1.551361,0,0,1,0,0,0
23:11:05,RepRec~04-28-2017_0427.exp,25.85665,0.2091538,0.9068265,1.367157,1.062899,1.256287,1.573402,0,0,0,5,0,0
23:16:05,RepRec~04-28-2017_0428.exp,25.81864,0.2012153,0.9454458,1.345908,1.099761,1.226002,1.557859,0,0,0,0,0,0
23:21:05,RepRec~04-28-2017_0429.exp,25.7406,0.1925267,0.9104943,1.3779,1.027352,1.20598,1.49222,0,0,4,0,0,0
23:26:05,RepRec~04-28-2017_0430.exp,25.65699,0.1973041,0.8656105,1.276596,0.9701358,1.197736,1.506375,0,0,0,0,0,0
23:31:05,RepRec~04-28-2017_0431.exp,25.57496,0.1958365,0.8717017,1.27498,1.017358,1.190601,1.551852,0,0,0,0,0,0
23:36:05,RepRec~04-28-2017_0432.exp,25.51738,0.2023478,0.8504897,1.243531,0.9308928,1.10974,1.692665,0,0,0,0,0,0
23:41:05,RepRec~04-28-2017_0433.exp,25.45881,0.2143421,0.8669266,1.288553,1.006171,1.206877,1.788149,0,0,0,0,0,4
23:46:05,RepRec~04-28-2017_0434.exp,25.435,0.1996379,0.8590646,1.217007,0.9478856,1.148334,1.732745,0,0,0,0,0,2
23:51:05,RepRec~04-28-2017_0435.exp,25.44034,0.2128792,0.9002264,1.230963,1.00159,1.201864,1.638681,0,0,0,0,0,0
23:56:05,RepRec~04-28-2017_0436.exp,25.45336,0.1981041,0.8623226,1.233911,1.022822,1.144054,1.74594,0,0,0,0,0,6
0:01:05,RepRec~04-28-2017_0437.exp,25.44399,0.2090532,0.8740137,1.299411,0.9541219,1.109869,1.729667,0,0,0,0,0,9
0:06:05,RepRec~04-28-2017_0438.exp,25.45799,0.2140131,0.8485439,1.218693,0.9572061,1.18272,1.690887,0,0,0,0,0,1
0:11:05,RepRec~04-28-2017_0439.exp,25.50144,0.2042044,0.8554733,1.211294,0.9422119,1.114277,1.568077,0,0,0,0,0,2
0:16:05,RepRec~04-28-2017_0440.exp,25.54069,0.1920093,0.8441595,1.216349,0.9472273,1.115898,1.566721,0,0,0,0,0,0
0:21:05,RepRec~04-28-2017_0441.exp,25.55853,0.2057155,0.8511844,1.219219,0.8510194,1.001581,1.548807,0,0,0,0,0,6
0:26:05,RepRec~04-28-2017_0442.exp,25.58966,0.2275846,0.9039305,1.254867,0.9927351,1.198324,2.728915,0,0,0,0,0,14
0:31:05,RepRec~04-28-2017_0443.exp,25.64136,0.2233627,1.051723,1.209043,0.9867779,1.176683,1.852958,0,21,0,0,0,13
0:36:05,RepRec~04-28-2017_0444.exp,25.69903,0.2045899,0.9851918,1.203702,0.9798861,1.152289,2.557327,0,17,0,0,0,11
0:41:05,RepRec~04-28-2017_0445.exp,25.74655,0.2015769,0.8605691,1.247095,0.9388644,1.135996,1.735761,0,3,0,0,0,2
0:46:05,RepRec~04-28-2017_0446.exp,25.79575,0.2118398,0.8107041,1.117813,0.8349167,1.007958,1.890024,0,0,0,0,0,3
0:51:05,RepRec~04-28-2017_0447.exp,25.85723,0.2185205,0.8402612,1.238106,0.9958991,1.228741,2.174622,0,0,0,0,0,5
